date=05-12-2024, time=06:35:31, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=06:35:44, id=18, deviceList=111111000000000000000000, readList=011010000000000000000000, code=0425488960
date=05-12-2024, time=06:37:42, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425490767
date=05-12-2024, time=06:38:08, id=18, deviceList=111111000000000000000000, readList=011001000000000000000000, code=0425453175
date=05-12-2024, time=06:38:30, id=18, deviceList=111111000000000000000000, readList=001001000000000000000000, code=0425490769
date=05-12-2024, time=06:38:30, id=18, deviceList=111111000000000000000000, readList=010000000000000000000000, code=0425442512
date=05-12-2024, time=06:41:26, id=18, deviceList=111111000000000000000000, readList=000001000000000000000000, code=0425488961
date=05-12-2024, time=06:42:16, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425489062
date=05-12-2024, time=06:44:04, id=18, deviceList=111111000000000000000000, readList=001001000000000000000000, code=0425490768
date=05-12-2024, time=06:54:31, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425491600
date=05-12-2024, time=06:54:50, id=18, deviceList=111111000000000000000000, readList=001000000000000000000000, code=0425491700
date=05-12-2024, time=06:55:08, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=06:55:38, id=18, deviceList=111111000000000000000000, readList=011110000000000000000000, code=0425492300
date=05-12-2024, time=06:57:19, id=18, deviceList=111111000000000000000000, readList=001001000000000000000000, code=0425491700
date=05-12-2024, time=06:58:31, id=18, deviceList=111111000000000000000000, readList=001001000000000000000000, code=0425453180
date=05-12-2024, time=07:01:58, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=07:05:28, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=07:05:30, id=18, deviceList=111111000000000000000000, readList=110000000000000000000000, code=0425491054
date=05-12-2024, time=07:05:32, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425491055
date=05-12-2024, time=07:05:36, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425491056
date=05-12-2024, time=07:13:25, id=18, deviceList=111111000000000000000000, readList=110010000000000000000000, code=0425488968
date=05-12-2024, time=07:16:58, id=18, deviceList=111111000000000000000000, readList=011010000000000000000000, code=0425488969
date=05-12-2024, time=07:18:33, id=18, deviceList=111111000000000000000000, readList=100001000000000000000000, code=0425453185
date=05-12-2024, time=07:20:50, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425453186
date=05-12-2024, time=07:22:04, id=18, deviceList=111111000000000000000000, readList=010000000000000000000000, code=0425489073
date=05-12-2024, time=07:22:11, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=07:35:10, id=18, deviceList=111111000000000000000000, readList=011010000000000000000000, code=0425492600
date=05-12-2024, time=07:35:12, id=18, deviceList=111111000000000000000000, readList=011001000000000000000000, code=0425492601
date=05-12-2024, time=07:35:14, id=18, deviceList=111111000000000000000000, readList=001001000000000000000000, code=0425492603
date=05-12-2024, time=07:35:16, id=18, deviceList=111111000000000000000000, readList=000011000000000000000000, code=0425492602
date=05-12-2024, time=07:35:20, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425492605
date=05-12-2024, time=07:35:22, id=18, deviceList=111111000000000000000000, readList=011010000000000000000000, code=0425492604
date=05-12-2024, time=07:35:24, id=18, deviceList=111111000000000000000000, readList=111011000000000000000000, code=0425492606
date=05-12-2024, time=07:35:27, id=18, deviceList=111111000000000000000000, readList=100010000000000000000000, code=0425492608
date=05-12-2024, time=07:35:30, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425492609
date=05-12-2024, time=07:35:32, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425492611
date=05-12-2024, time=07:35:36, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425492612
date=05-12-2024, time=07:35:38, id=18, deviceList=111111000000000000000000, readList=111010000000000000000000, code=0425492614
date=05-12-2024, time=07:35:41, id=18, deviceList=111111000000000000000000, readList=111011000000000000000000, code=0425492610
date=05-12-2024, time=07:35:44, id=18, deviceList=111111000000000000000000, readList=111011000000000000000000, code=0425492807
date=05-12-2024, time=07:35:45, id=18, deviceList=111111000000000000000000, readList=000011000000000000000000, code=0425492615
date=05-12-2024, time=08:05:06, id=18, deviceList=111111000000000000000000, readList=010010000000000000000000, code=0425492801
date=05-12-2024, time=08:05:08, id=18, deviceList=111111000000000000000000, readList=100010000000000000000000, code=0425492900
date=05-12-2024, time=08:05:10, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425492901
date=05-12-2024, time=08:05:14, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=08:05:17, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425492902
date=05-12-2024, time=08:05:21, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425492802
date=05-12-2024, time=08:05:23, id=18, deviceList=111111000000000000000000, readList=000001000000000000000000, code=0425492803
date=05-12-2024, time=08:05:27, id=18, deviceList=111111000000000000000000, readList=110010000000000000000000, code=0425492903
date=05-12-2024, time=08:05:29, id=18, deviceList=111111000000000000000000, readList=001110000000000000000000, code=0425492804
date=05-12-2024, time=08:05:33, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425492904
date=05-12-2024, time=08:05:35, id=18, deviceList=111111000000000000000000, readList=001111000000000000000000, code=0425492805
date=05-12-2024, time=08:05:38, id=18, deviceList=111111000000000000000000, readList=110000000000000000000000, code=0425492906
date=05-12-2024, time=08:05:40, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=08:05:41, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425492905
date=05-12-2024, time=08:05:43, id=18, deviceList=111111000000000000000000, readList=111011000000000000000000, code=0425492807
date=05-12-2024, time=08:05:46, id=18, deviceList=111111000000000000000000, readList=000110000000000000000000, code=0425492907
date=05-12-2024, time=08:05:50, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=08:05:51, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425492806
date=05-12-2024, time=08:05:55, id=18, deviceList=111111000000000000000000, readList=001011000000000000000000, code=0425492809
date=05-12-2024, time=08:05:57, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425492810
date=05-12-2024, time=08:06:00, id=18, deviceList=111111000000000000000000, readList=011000000000000000000000, code=0425492808
date=05-12-2024, time=08:06:03, id=18, deviceList=111111000000000000000000, readList=000100000000000000000000, code=0425492811
date=05-12-2024, time=08:06:07, id=18, deviceList=111111000000000000000000, readList=000011000000000000000000, code=0425492908
date=05-12-2024, time=08:06:09, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425492813
date=05-12-2024, time=08:06:13, id=18, deviceList=111111000000000000000000, readList=001000000000000000000000, code=0425492814
date=05-12-2024, time=08:06:15, id=18, deviceList=111111000000000000000000, readList=000110000000000000000000, code=0425492909
date=05-12-2024, time=08:06:18, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425492815
date=05-12-2024, time=08:06:21, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425492816
date=05-12-2024, time=08:08:01, id=18, deviceList=111111000000000000000000, readList=110000000000000000000000, code=0425492902
date=05-12-2024, time=08:08:10, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425492802
date=05-12-2024, time=08:08:33, id=18, deviceList=111111000000000000000000, readList=011000000000000000000000, code=0425492814
